16231@1772032180.791576:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.791582:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.807032:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.807036:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.807042:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.822831:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.822834:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.822841:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.838390:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.838393:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.838400:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.853612:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.853616:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.853622:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.869664:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.869668:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.869674:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.884903:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.884906:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.884913:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.900954:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.900957:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.900964:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.916708:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.916712:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.916718:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.948216:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.948220:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.948227:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.963506:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.963514:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.963520:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.994050:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032180.994054:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032180.994060:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.009537:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.009541:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.009548:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.024847:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.024851:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.024858:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.040825:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.040830:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.040837:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.056403:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.056407:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.056414:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.072374:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.072378:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.072385:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.088364:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.088368:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
