16231@1772032175.435633:vfio_region_write  (0000:25:00.0:region0+0x48, 0x51, 1)
16231@1772032175.435641:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435645:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.435652:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.435776:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x51
16231@1772032175.436297:vfio_region_write  (0000:25:00.0:region0+0x48, 0x52, 1)
16231@1772032175.436305:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436309:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.436316:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436458:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x52
16231@1772032175.436466:vfio_region_write  (0000:25:00.0:region0+0x48, 0x53, 1)
16231@1772032175.436473:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436477:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.436483:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436613:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x53
16231@1772032175.436626:vfio_region_write  (0000:25:00.0:region0+0x48, 0x54, 1)
16231@1772032175.436634:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436638:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.436644:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436781:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x54
16231@1772032175.436787:vfio_region_write  (0000:25:00.0:region0+0x48, 0x55, 1)
16231@1772032175.436794:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436798:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.436804:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436918:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x55
16231@1772032175.436923:vfio_region_write  (0000:25:00.0:region0+0x48, 0x56, 1)
16231@1772032175.436929:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.436932:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.436938:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437097:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x56
16231@1772032175.437102:vfio_region_write  (0000:25:00.0:region0+0x48, 0x57, 1)
16231@1772032175.437109:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437112:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
