3922@1775252440.615167:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615173:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615179:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615185:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615192:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615198:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615204:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615210:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615216:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615222:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615228:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615234:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615240:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615246:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615252:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615258:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615264:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615270:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615276:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615282:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615288:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615295:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615301:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615307:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615313:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615319:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615325:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615331:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615338:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615344:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615350:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615356:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615362:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615368:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615374:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615380:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615386:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615392:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615398:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615405:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615411:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615417:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615423:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615429:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615435:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615441:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615447:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615453:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615459:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615466:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615472:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615478:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615484:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615490:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615496:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615502:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615508:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615514:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615520:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615527:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615536:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615542:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615548:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615554:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615560:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615566:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615572:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615578:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615584:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615591:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615597:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615603:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615609:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615615:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615621:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615627:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615633:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615639:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615646:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615652:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615658:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615664:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615670:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
3922@1775252440.615676:vfio_region_read  (0000:25:00.0:region2+0xc14, 4) = 0x40
3922@1775252440.615683:vfio_region_read  (0000:25:00.0:region2+0xc7c, 4) = 0x6
